joint_angle_rad,motor_angle_rad,transmission_ratio,torque_limit_nm
0.411752,0.458826,1.003074,220.6763
0.413323,0.460402,1.002501,220.5502
0.414895,0.461977,1.001930,220.4245
0.416466,0.463552,1.001360,220.2991
0.418038,0.465125,1.000791,220.1740
0.419610,0.466697,1.000223,220.0492
0.421181,0.468269,0.999657,219.9246
0.422753,0.469839,0.999093,219.8004
0.424324,0.471409,0.998529,219.6764
0.425896,0.472978,0.997967,219.5528
0.427467,0.474546,0.997406,219.4294
0.429039,0.476113,0.996847,219.3063
0.430611,0.477679,0.996288,219.1834
0.432182,0.479244,0.995731,219.0609
0.433754,0.480809,0.995176,218.9386
0.435325,0.482372,0.994621,218.8167
0.436897,0.483935,0.994068,218.6949
0.438468,0.485497,0.993516,218.5735
0.440040,0.487058,0.992965,218.4523
0.441612,0.488618,0.992416,218.3314
0.443183,0.490177,0.991867,218.2108
0.444755,0.491735,0.991320,218.0904
0.446326,0.493293,0.990774,217.9703
0.447898,0.494849,0.990229,217.8504
0.449469,0.496405,0.989686,217.7309
0.451041,0.497960,0.989143,217.6115
0.452613,0.499514,0.988602,217.4924
0.454184,0.501068,0.988062,217.3736
0.455756,0.502620,0.987523,217.2550
0.457327,0.504171,0.986985,217.1367
0.458899,0.505722,0.986448,217.0186
0.460470,0.507272,0.985913,216.9008
0.462042,0.508821,0.985378,216.7832
0.463614,0.510369,0.984845,216.6659
0.465185,0.511917,0.984313,216.5488
0.466757,0.513463,0.983782,216.4319
0.468328,0.515009,0.983251,216.3153
0.469900,0.516554,0.982722,216.1989
0.471471,0.518098,0.982194,216.0828
0.473043,0.519641,0.981668,215.9669
0.474615,0.521183,0.981142,215.8512
0.476186,0.522725,0.980617,215.7357
0.477758,0.524265,0.980093,215.6205
0.479329,0.525805,0.979570,215.5055
0.480901,0.527344,0.979049,215.3907
0.482472,0.528882,0.978528,215.2762
0.484044,0.530420,0.978008,215.1619
0.485616,0.531956,0.977490,215.0478
0.487187,0.533492,0.976972,214.9339
0.488759,0.535027,0.976455,214.8202
0.490330,0.536561,0.975940,214.7068
0.491902,0.538095,0.975425,214.5935
0.493473,0.539627,0.974911,214.4805
0.495045,0.541159,0.974399,214.3677
0.496617,0.542690,0.973887,214.2551
0.498188,0.544220,0.973376,214.1427
0.499760,0.545749,0.972866,214.0305
0.501331,0.547278,0.972357,213.9185
0.502903,0.548806,0.971849,213.8067
0.504474,0.550333,0.971342,213.6952
0.506046,0.551859,0.970835,213.5838
0.507618,0.553384,0.970330,213.4726
