joint_angle_rad,motor_angle_rad,transmission_ratio,torque_limit_nm
1.183393,1.144579,0.781920,172.0223
1.184965,1.145808,0.781463,171.9219
1.186537,1.147036,0.781007,171.8215
1.188108,1.148263,0.780550,171.7210
1.189680,1.149489,0.780093,171.6204
1.191251,1.150715,0.779635,171.5197
1.192823,1.151940,0.779177,171.4190
1.194394,1.153164,0.778719,171.3181
1.195966,1.154387,0.778260,171.2172
1.197538,1.155610,0.777801,171.1162
1.199109,1.156832,0.777342,171.0151
1.200681,1.158053,0.776882,170.9140
1.202252,1.159274,0.776422,170.8127
1.203824,1.160494,0.775961,170.7114
1.205395,1.161713,0.775500,170.6100
1.206967,1.162931,0.775039,170.5085
1.208539,1.164149,0.774577,170.4070
1.210110,1.165366,0.774115,170.3053
1.211682,1.166582,0.773653,170.2036
1.213253,1.167797,0.773190,170.1018
1.214825,1.169012,0.772727,169.9999
1.216396,1.170226,0.772263,169.8979
1.217968,1.171440,0.771799,169.7958
1.219540,1.172652,0.771335,169.6937
1.221111,1.173864,0.770870,169.5915
1.222683,1.175075,0.770405,169.4891
1.224254,1.176285,0.769940,169.3867
1.225826,1.177495,0.769474,169.2842
1.227397,1.178704,0.769008,169.1817
1.228969,1.179912,0.768541,169.0790
1.230541,1.181120,0.768074,168.9763
1.232112,1.182326,0.767607,168.8734
1.233684,1.183532,0.767139,168.7705
1.235255,1.184738,0.766671,168.6675
1.236827,1.185942,0.766202,168.5644
1.238398,1.187146,0.765733,168.4613
1.239970,1.188349,0.765264,168.3580
1.241542,1.189551,0.764794,168.2546
1.243113,1.190753,0.764324,168.1512
1.244685,1.191954,0.763853,168.0477
1.246256,1.193154,0.763382,167.9440
1.247828,1.194353,0.762911,167.8403
1.249399,1.195552,0.762439,167.7365
1.250971,1.196749,0.761967,167.6327
1.252543,1.197947,0.761494,167.5287
1.254114,1.199143,0.761021,167.4246
1.255686,1.200339,0.760548,167.3205
1.257257,1.201533,0.760074,167.2162
1.258829,1.202728,0.759599,167.1119
1.260400,1.203921,0.759125,167.0075
1.261972,1.205114,0.758650,166.9029
1.263544,1.206305,0.758174,166.7983
1.265115,1.207497,0.757698,166.6936
1.266687,1.208687,0.757222,166.5888
1.268258,1.209877,0.756745,166.4840
1.269830,1.211066,0.756268,166.3790
1.271401,1.212254,0.755791,166.2739
1.272973,1.213441,0.755313,166.1688
1.274545,1.214628,0.754834,166.0635
1.276116,1.215814,0.754355,165.9582
1.277688,1.216999,0.753876,165.8527
1.279259,1.218183,0.753396,165.7472
1.280831,1.219367,0.752916,165.6416
1.282402,1.220550,0.752436,165.5358
1.283974,1.221732,0.751955,165.4300
1.285546,1.222913,0.751473,165.3241
1.287117,1.224094,0.750991,165.2181
1.288689,1.225274,0.750509,165.1120
1.290260,1.226453,0.750026,165.0058
1.291832,1.227631,0.749543,164.8995
1.293403,1.228809,0.749060,164.7931
1.294975,1.229986,0.748576,164.6867
1.296547,1.231162,0.748091,164.5801
1.298118,1.232337,0.747606,164.4734
1.299690,1.233511,0.747121,164.3666
1.301261,1.234685,0.746635,164.2598
1.302833,1.235858,0.746149,164.1528
1.304404,1.237031,0.745662,164.0457
1.305976,1.238202,0.745175,163.9386
1.307548,1.239373,0.744688,163.8313
1.309119,1.240543,0.744200,163.7240
1.310691,1.241712,0.743711,163.6165
1.312262,1.242880,0.743223,163.5090
1.313834,1.244048,0.742733,163.4013
1.315405,1.245215,0.742243,163.2936
1.316977,1.246381,0.741753,163.1857
1.318549,1.247546,0.741263,163.0778
1.320120,1.248711,0.740771,162.9697
1.321692,1.249875,0.740280,162.8616
1.323263,1.251038,0.739788,162.7533
1.324835,1.252200,0.739295,162.6450
1.326406,1.253361,0.738802,162.5365
1.327978,1.254522,0.738309,162.4280
1.329550,1.255682,0.737815,162.3194
1.331121,1.256841,0.737321,162.2106
1.332693,1.257999,0.736826,162.1018
1.334264,1.259157,0.736331,161.9928
1.335836,1.260314,0.735835,161.8838
1.337407,1.261470,0.735339,161.7746
1.338979,1.262625,0.734843,161.6654
1.340551,1.263780,0.734345,161.5560
1.342122,1.264933,0.733848,161.4465
1.343694,1.266086,0.733350,161.3370
1.345265,1.267238,0.732851,161.2273
1.346837,1.268390,0.732353,161.1176
1.348408,1.269540,0.731853,161.0077
1.349980,1.270690,0.731353,160.8977
1.351552,1.271839,0.730853,160.7876
1.353123,1.272987,0.730352,160.6775
1.354695,1.274134,0.729851,160.5672
1.356266,1.275281,0.729349,160.4568
1.357838,1.276427,0.728847,160.3463
1.359409,1.277572,0.728344,160.2357
1.360981,1.278716,0.727841,160.1250
1.362553,1.279860,0.727337,160.0142
1.364124,1.281002,0.726833,159.9033
1.365696,1.282144,0.726329,159.7923
1.367267,1.283285,0.725824,159.6812
1.368839,1.284426,0.725318,159.5700
1.370410,1.285565,0.724812,159.4586
1.371982,1.286704,0.724305,159.3472
1.373554,1.287842,0.723798,159.2357
1.375125,1.288979,0.723291,159.1240
1.376697,1.290115,0.722783,159.0123
1.378268,1.291251,0.722275,158.9004
1.379840,1.292385,0.721766,158.7884
1.381411,1.293519,0.721256,158.6764
1.382983,1.294652,0.720746,158.5642
1.384555,1.295785,0.720236,158.4519
1.386126,1.296916,0.719725,158.3395
1.387698,1.298047,0.719214,158.2270
1.389269,1.299177,0.718702,158.1144
1.390841,1.300306,0.718190,158.0017
1.392412,1.301434,0.717677,157.8889
1.393984,1.302562,0.717163,157.7759
1.395556,1.303688,0.716650,157.6629
1.397127,1.304814,0.716135,157.5498
1.398699,1.305939,0.715621,157.4365
1.400270,1.307063,0.715105,157.3232
1.401842,1.308187,0.714589,157.2097
1.403413,1.309309,0.714073,157.0961
1.404985,1.310431,0.713556,156.9824
1.406557,1.311552,0.713039,156.8686
1.408128,1.312672,0.712521,156.7547
1.409700,1.313792,0.712003,156.6407
1.411271,1.314910,0.711484,156.5266
1.412843,1.316028,0.710965,156.4123
1.414414,1.317145,0.710445,156.2980
1.415986,1.318261,0.709925,156.1835
1.417558,1.319376,0.709404,156.0690
1.419129,1.320491,0.708883,155.9543
1.420701,1.321605,0.708361,155.8395
1.422272,1.322717,0.707839,155.7246
1.423844,1.323829,0.707316,155.6096
1.425415,1.324941,0.706793,155.4945
1.426987,1.326051,0.706269,155.3793
1.428559,1.327160,0.705745,155.2639
1.430130,1.328269,0.705220,155.1485
1.431702,1.329377,0.704695,155.0329
1.433273,1.330484,0.704169,154.9172
1.434845,1.331590,0.703643,154.8014
1.436416,1.332696,0.703116,154.6855
1.437988,1.333800,0.702589,154.5695
1.439560,1.334904,0.702061,154.4534
1.441131,1.336007,0.701533,154.3372
1.442703,1.337109,0.701004,154.2208
1.444274,1.338210,0.700474,154.1044
1.445846,1.339311,0.699945,153.9878
1.447417,1.340410,0.699414,153.8711
1.448989,1.341509,0.698883,153.7543
1.450561,1.342607,0.698352,153.6374
1.452132,1.343704,0.697820,153.5204
1.453704,1.344800,0.697288,153.4033
1.455275,1.345896,0.696755,153.2860
1.456847,1.346990,0.696221,153.1687
1.458418,1.348084,0.695687,153.0512
1.459990,1.349177,0.695153,152.9336
1.461562,1.350269,0.694618,152.8159
1.463133,1.351360,0.694082,152.6981
1.464705,1.352451,0.693546,152.5802
1.466276,1.353540,0.693010,152.4621
1.467848,1.354629,0.692473,152.3440
1.469419,1.355717,0.691935,152.2257
1.470991,1.356804,0.691397,152.1073
1.472563,1.357890,0.690858,151.9888
1.474134,1.358975,0.690319,151.8702
1.475706,1.360060,0.689780,151.7515
1.477277,1.361143,0.689239,151.6327
1.478849,1.362226,0.688699,151.5137
1.480420,1.363308,0.688157,151.3946
1.481992,1.364389,0.687616,151.2754
1.483564,1.365469,0.687073,151.1561
1.485135,1.366549,0.686531,151.0367
1.486707,1.367627,0.685987,150.9172
1.488278,1.368705,0.685443,150.7976
1.489850,1.369782,0.684899,150.6778
1.491421,1.370858,0.684354,150.5579
1.492993,1.371933,0.683809,150.4379
1.494565,1.373007,0.683263,150.3178
1.496136,1.374080,0.682716,150.1976
1.497708,1.375153,0.682169,150.0773
1.499279,1.376224,0.681622,149.9568
1.500851,1.377295,0.681074,149.8362
1.502422,1.378365,0.680525,149.7156
1.503994,1.379434,0.679976,149.5948
1.505566,1.380502,0.679427,149.4738
1.507137,1.381570,0.678876,149.3528
1.508709,1.382636,0.678326,149.2317
1.510280,1.383702,0.677775,149.1104
1.511852,1.384767,0.677223,148.9890
1.513423,1.385830,0.676671,148.8675
1.514995,1.386893,0.676118,148.7459
1.516567,1.387956,0.675564,148.6242
1.518138,1.389017,0.675011,148.5023
1.519710,1.390077,0.674456,148.3804
1.521281,1.391137,0.673901,148.2583
1.522853,1.392195,0.673346,148.1361
1.524424,1.393253,0.672790,148.0138
1.525996,1.394310,0.672233,147.8914
1.527568,1.395366,0.671676,147.7688
1.529139,1.396421,0.671119,147.6461
1.530711,1.397476,0.670561,147.5234
1.532282,1.398529,0.670002,147.4005
1.533854,1.399581,0.669443,147.2775
1.535425,1.400633,0.668883,147.1543
1.536997,1.401684,0.668323,147.0311
1.538569,1.402734,0.667762,146.9077
1.540140,1.403783,0.667201,146.7842
1.541712,1.404831,0.666639,146.6606
1.543283,1.405878,0.666077,146.5369
1.544855,1.406924,0.665514,146.4131
1.546426,1.407970,0.664951,146.2891
1.547998,1.409014,0.664387,146.1651
1.549570,1.410058,0.663822,146.0409
1.551141,1.411101,0.663257,145.9166
1.552713,1.412143,0.662692,145.7921
1.554284,1.413184,0.662125,145.6676
1.555856,1.414224,0.661559,145.5429
1.557427,1.415263,0.660992,145.4182
1.558999,1.416302,0.660424,145.2933
1.560571,1.417339,0.659856,145.1683
1.562142,1.418376,0.659287,145.0431
1.563714,1.419411,0.658718,144.9179
1.565285,1.420446,0.658148,144.7925
1.566857,1.421480,0.657578,144.6671
1.568428,1.422513,0.657007,144.5415
1.570000,1.423545,0.656721,144.4786
